      Open       High        Low      Close     Volume  Dividends  Stock Splits
  0.298265   0.302572   0.298265   0.301495    4525246   0.000000      0.000000
  0.301495   0.303648   0.301495   0.301495     964852   0.000000      0.000000
  0.305802   0.316569   0.305802   0.306879    9371082   0.000000      0.000000
  0.305263   0.305263   0.299341   0.299341    2626369   0.000000      0.000000
  0.299341   0.299341   0.293957   0.294496    1797152   0.000000      0.000000
  0.299341   0.302033   0.299341   0.300956    2040676   0.000000      0.000000
  0.300956   0.303648   0.300418   0.302571    1470397   0.000000      0.000000
  0.302571   0.304725   0.298803   0.299341    1661518   0.000000      0.000000
  0.299341   0.299880   0.297187   0.298264     900117   0.000000      0.000000
  0.298264   0.298803   0.290727   0.290727    1152890   0.000000      0.000000
  0.290727   0.291265   0.284805   0.287497    2509231   0.000000      0.000000
  0.287497   0.288035   0.282113   0.282651    1507388   0.000000      0.000000
  0.282651   0.286420   0.281036   0.284266    2111576   0.000000      0.000000
  0.284267   0.285882   0.281036   0.281575    1787904   0.000000      0.000000
  0.281575   0.286958   0.277806   0.286420    1868051   0.000000      0.000000
  0.286420   0.288035   0.282651   0.283190    1630692   0.000000      0.000000
  0.284267   0.286958   0.284267   0.286420    2108493   0.000000      0.000000
  0.286958   0.289650   0.286958   0.289112    2392092   0.000000      0.000000
  0.289112   0.290189   0.284266   0.284805     727492   0.000000      0.000000
  0.284805   0.284805   0.282113   0.283728     844630   0.000000      0.000000
  0.283728   0.285882   0.281575   0.281575    1125146   0.000000      0.000000
  0.281575   0.282113   0.279421   0.282113    1710839   0.000000      0.000000
  0.282113   0.284267   0.281036   0.281036    1189881   0.000000      0.000000
  0.281036   0.281575   0.278883   0.279421    1085073   0.000000      0.000000
  0.279421   0.279421   0.275652   0.277806    1044999   0.000000      0.000000
  0.277806   0.277806   0.269730   0.271345    1827978   0.000000      0.000000
  0.271345   0.272422   0.270807   0.271884    1118981   0.000000      0.000000
  0.271884   0.274037   0.267577   0.268115    1411827   0.000000      0.000000
  0.268115   0.268653   0.262193   0.264885    1831060   0.000000      0.000000
  0.264885   0.267038   0.258962   0.267038    1766326   0.000000      0.000000
  0.267038   0.268115   0.263808   0.267038    1417993   0.000000      0.000000
  0.267038   0.269730   0.265961   0.269730    3467917   0.000000      0.000000
  0.269730   0.271345   0.268115   0.270268    1307019   0.000000      0.000000
  0.270807   0.278883   0.270807   0.276729    1883464   0.000000      0.000000
  0.276729   0.277267   0.271884   0.272960    1741665   0.000000      0.000000
  0.272960   0.274037   0.271884   0.271884     548702   0.000000      0.000000
  0.271345   0.271345   0.267038   0.268653    1966694   0.000000      0.000000
  0.268653   0.270807   0.266500   0.267577    1152890   0.000000      0.000000
  0.265961   0.265961   0.263270   0.264885     712079   0.000000      0.000000
  0.265961   0.268115   0.265961   0.265961    1112816   0.000000      0.000000
  0.266500   0.275114   0.266500   0.274575    4186161   0.000000      0.000000
  0.274575   0.277806   0.274575   0.275652    2987032   0.000000      0.000000
  0.275652   0.285882   0.275652   0.285343    3273714   0.000000      0.000000
  0.284267   0.284267   0.281036   0.281036    1911208   0.000000      0.000000
  0.281036   0.282113   0.277268   0.278883     890869   0.000000      0.000000
  0.278882   0.278882   0.272422   0.272422    1174468   0.000000      0.000000
  0.272422   0.276729   0.270269   0.276729    1270028   0.000000      0.000000
  0.276729   0.277806   0.275114   0.276729    1381002   0.000000      0.000000
  0.278882   0.283190   0.278882   0.282651    3088758   0.000000      0.000000
  0.282651   0.285882   0.278883   0.278883     924778   0.000000      0.000000
  0.277576   0.277576   0.270501   0.271589    1522801   0.022708      0.000000
  0.271045   0.271045   0.264514   0.267235    1827978   0.000000      0.000000
  0.267235   0.269412   0.265058   0.268868    1282359   0.000000      0.000000
  0.268868   0.268868   0.261248   0.262337    2256458   0.000000      0.000000
  0.262337   0.267780   0.261248   0.267235    2167063   0.000000      0.000000
  0.267235   0.267780   0.258527   0.265603    2620204   0.000000      0.000000
  0.265602   0.272134   0.264514   0.269412    1319350   0.000000      0.000000
  0.269412   0.278665   0.265602   0.278665    2046842   0.000000      0.000000
  0.278121   0.280842   0.275944   0.279209    1485810   0.000000      0.000000
  0.279209   0.279209   0.275943   0.277576     955604   0.000000      0.000000
  0.277576   0.278120   0.274855   0.277032    1411827   0.000000      0.000000
  0.277032   0.280842   0.265602   0.266147    3437091   0.000000      0.000000
  0.266147   0.266691   0.260704   0.263970    4300217   0.000000      0.000000
  0.262337   0.262337   0.254717   0.255261    2589378   0.000000      0.000000
